Last Name,First Name,Age,Height,Weight,Team,Abbr,GP,G,A,P,TOI,Hits,PIM,+/-
Fox,Adam,22,"5'11""",181,New York Rangers,NYR,53,5,42,47,24:44,22,14,20
Carlson,John,30,"6'3""",218,Washington Capitals,WSH,51,10,34,44,23:47,51,12,-3
Hedman,Victor,30,"6'6""",223,Tampa Bay Lightning,TBL,53,9,35,44,25:04,50,28,7
Barrie,Tyson,29,"5'11""",196,Edmonton Oilers,EDM,51,8,36,44,21:34,25,10,7
Letang,Kristopher,33,"6'0""",201,Pittsburgh Penguins,PIT,53,7,36,43,24:37,88,32,17
Hamilton,Dougie,27,"6'6""",209,Carolina Hurricanes,CAR,53,10,32,42,22:44,49,35,23
Theodore,Shea,25,"6'2""",194,Vegas Golden Knights,VGK,49,8,34,42,22:27,18,14,27
Petry,Jeff,33,"6'3""",196,Montreal Canadiens,MTL,52,12,28,40,22:40,93,16,6
Chychrun,Jakob,22,"6'2""",209,Arizona Coyotes,ARI,54,18,21,39,23:18,59,40,-5
Makar,Cale,22,"5'11""",181,Colorado Avalanche,COL,39,6,33,39,24:20,43,8,10
Hughes,Quinton,21,"5'10""",174,Vancouver Canucks,VAN,47,3,32,35,23:05,15,22,-25
Doughty,Drew,31,"6'1""",201,Los Angeles Kings,LAK,51,8,26,34,26:33,80,24,-6
Rielly,Morgan,26,"6'1""",218,Toronto Maple Leafs,TOR,51,5,29,34,23:44,55,12,16
Weegar,Mackenzie,26,"6'0""",201,Florida Panthers,FLA,52,5,29,34,22:11,113,43,25
Nurse,Darnell,25,"6'4""",220,Edmonton Oilers,EDM,51,16,17,33,25:44,112,48,30
Josi,Roman,30,"6'1""",201,Nashville Predators,NSH,47,8,25,33,24:21,26,20,-13
Klingberg,John,28,"6'3""",190,Dallas Stars,DAL,50,7,26,33,22:47,44,23,-13
Chabot,Thomas,23,"6'2""",196,Ottawa Senators,OTT,49,6,25,31,26:17,68,36,-15
Girard,Samuel,22,"5'10""",161,Colorado Avalanche,COL,46,5,26,31,23:19,30,16,15
Pionk,Neal,25,"6'0""",185,Winnipeg Jets,WPG,52,3,28,31,22:01,133,20,4
Martinez,Alec,33,"6'1""",207,Vegas Golden Knights,VGK,51,8,22,30,22:30,38,12,26
Sergachyov,Mikhail,22,"6'3""",216,Tampa Bay Lightning,TBL,53,4,26,30,21:52,63,28,9
Burns,Brent,35,"6'5""",229,San Jose Sharks,SJS,53,7,22,29,26:15,31,34,-10
Leddy,Nick,29,"6'0""",207,New York Islanders,NYI,53,2,27,29,21:32,53,6,1
Krug,Torey,29,"5'9""",185,St. Louis Blues,STL,48,1,28,29,22:42,47,25,8
McAvoy,Charlie,23,"6'0""",207,Boston Bruins,BOS,48,4,23,27,24:05,59,34,17
Provorov,Ivan,23,"6'1""",201,Philadelphia Flyers,PHI,53,7,19,26,25:01,54,22,3
Yandle,Keith,34,"6'1""",192,Florida Panthers,FLA,54,3,23,26,17:15,17,34,-9
Reilly,Mike,27,"6'1""",194,Boston Bruins,BOS,12,0,7,7,21:06,15,4,8
Toews,Devon,26,"6'1""",192,Colorado Avalanche,COL,48,7,18,25,24:44,38,14,22
Jones,Seth,26,"6'4""",209,Columbus Blue Jackets,CBJ,54,5,20,25,25:14,101,26,-18
Pesce,Brett,26,"6'3""",201,Carolina Hurricanes,CAR,53,4,21,25,22:49,17,20,14
Schultz,Justin,30,"6'2""",194,Washington Capitals,WSH,44,3,22,25,18:51,26,10,10
Heiskanen,Miro,21,"6'1""",185,Dallas Stars,DAL,52,7,17,24,24:57,42,12,-8
Brodin,Jonas,27,"6'1""",198,Minnesota Wild,MIN,50,9,14,23,22:34,34,16,6
Giordano,Mark,37,"6'1""",201,Calgary Flames,CGY,51,8,15,23,22:45,45,12,-3
