Last Name,First Name,Age,Height,Weight,Team,Abbr,GP,G,A,P,TOI,Hits,PIM,+/-
McDavid,Connor,23,"6'1""",194,Edmonton Oilers,EDM,51,31,62,93,22:30,58,18,26
Draisaitl,Leon,25,"6'2""",207,Edmonton Oilers,EDM,51,26,49,75,22:25,32,20,32
MacKinnon,Nathan,25,"6'0""",205,Colorado Avalanche,COL,47,20,45,65,20:22,36,37,22
Marner,Mitchell,23,"6'0""",174,Toronto Maple Leafs,TOR,52,18,46,64,22:26,22,18,21
Kane,Patrick,32,"5'10""",176,Chicago Blackhawks,CHI,53,15,49,64,22:10,13,14,-7
Matthews,Auston,23,"6'3""",220,Toronto Maple Leafs,TOR,48,39,24,63,21:43,52,10,21
Marchand,Brad,32,"5'9""",181,Boston Bruins,BOS,50,27,36,63,18:53,64,46,23
Crosby,Sidney,33,"5'11""",201,Pittsburgh Penguins,PIT,53,23,37,60,20:27,41,26,7
Rantanen,Mikko,24,"6'4""",216,Colorado Avalanche,COL,47,29,30,59,20:05,23,30,25
Stone,Mark,28,"6'4""",218,Vegas Golden Knights,VGK,51,21,38,59,19:01,29,26,26
Huberdeau,Jonathan,27,"6'1""",201,Florida Panthers,FLA,54,19,40,59,18:24,48,26,10
Panarin,Artemi,29,"5'11""",168,New York Rangers,NYR,42,17,41,58,19:38,13,6,14
Aho,Sebastian,23,"6'0""",176,Carolina Hurricanes,CAR,53,24,33,57,19:37,36,30,20
Barkov,Aleksander,25,"6'3""",214,Florida Panthers,FLA,48,26,30,56,21:07,30,14,11
Guentzel,Jake,26,"5'11""",181,Pittsburgh Penguins,PIT,54,23,33,56,20:19,42,28,6
Scheifele,Mark,27,"6'3""",207,Winnipeg Jets,WPG,52,19,37,56,20:59,30,12,-10
Bäckström,Nicklas,33,"6'1""",209,Washington Capitals,WSH,53,15,38,53,18:34,24,14,1
DeBrincat,Alex,23,"5'7""",165,Chicago Blackhawks,CHI,49,28,23,51,20:29,63,12,2
Pacioretty,Max,32,"6'2""",205,Vegas Golden Knights,VGK,48,24,27,51,17:56,33,14,20
O'Reilly,Ryan,29,"6'1""",216,St. Louis Blues,STL,51,23,27,50,21:00,23,16,21
Perron,David,32,"6'0""",201,St. Louis Blues,STL,51,15,35,50,18:44,37,20,2
Kopitar,Anze,33,"6'3""",225,Los Angeles Kings,LAK,51,13,37,50,21:16,39,10,-2
Landeskog,Gabriel,28,"6'1""",216,Colorado Avalanche,COL,49,19,30,49,20:06,69,34,10
Point,Brayden,24,"5'10""",165,Tampa Bay Lightning,TBL,53,23,25,48,18:28,23,11,8
Kane,Evander,29,"6'2""",212,San Jose Sharks,SJS,53,22,26,48,20:15,92,40,3
Zibanejad,Mika,27,"6'2""",214,New York Rangers,NYR,54,22,26,48,20:09,72,16,2
Kaprizov,Kirill,23,"5'10""",192,Minnesota Wild,MIN,52,26,21,47,18:15,29,16,8
Strome,Ryan,27,"6'1""",194,New York Rangers,NYR,54,14,33,47,18:20,21,37,6
Pavelski,Joe,36,"5'11""",194,Dallas Stars,DAL,53,22,24,46,19:11,63,14,19
Ehlers,Nikolaj,24,"6'0""",172,Winnipeg Jets,WPG,47,21,25,46,16:53,26,15,15
Bergeron,Patrice,35,"6'1""",194,Boston Bruins,BOS,51,21,25,46,18:13,48,16,25
Tavares,John,30,"6'1""",209,Toronto Maple Leafs,TOR,52,17,29,46,18:17,44,12,12
Buchnevich,Pavel,25,"6'3""",196,New York Rangers,NYR,53,20,25,45,18:41,49,42,10
Pastrnak,David,24,"6'0""",187,Boston Bruins,BOS,45,19,26,45,18:35,33,24,8
Palat,Ondrej,29,"6'0""",187,Tampa Bay Lightning,TBL,53,15,30,45,17:31,79,24,6
Connor,Kyle,24,"6'1""",183,Winnipeg Jets,WPG,52,22,22,44,18:41,16,12,-10
Trocheck,Vincent,27,"5'10""",185,Carolina Hurricanes,CAR,44,17,26,43,18:22,102,16,2
Lindholm,Elias,26,"6'1""",194,Calgary Flames,CGY,51,17,26,43,19:52,53,22,7
Robertson,Jason,21,"6'3""",209,Dallas Stars,DAL,48,16,27,43,16:47,23,16,14
Vorácek,Jakub,31,"6'2""",214,Philadelphia Flyers,PHI,50,9,34,43,16:59,16,16,-13
Toffoli,Tyler,28,"6'0""",196,Montreal Canadiens,MTL,49,28,14,42,17:27,70,24,0
Ovechkin,Alexander,35,"6'3""",236,Washington Capitals,WSH,44,24,18,42,19:30,94,12,-7
Rust,Bryan,28,"5'11""",192,Pittsburgh Penguins,PIT,54,22,20,42,19:45,62,18,8
Oshie,T.J.,34,"6'0""",194,Washington Capitals,WSH,51,21,21,42,18:12,67,18,-3
Bjorkstrand,Oliver,25,"6'0""",176,Columbus Blue Jackets,CBJ,54,17,25,42,17:36,41,23,-13
Svechnikov,Andrei,20,"6'2""",187,Carolina Hurricanes,CAR,53,15,27,42,17:35,110,42,5
Hertl,Tomas,27,"6'2""",220,San Jose Sharks,SJS,47,19,22,41,19:11,37,25,4
Giroux,Claude,32,"5'11""",185,Philadelphia Flyers,PHI,51,16,25,41,18:08,32,12,-5
Marchessault,Jonathan,30,"5'9""",174,Vegas Golden Knights,VGK,51,16,25,41,17:14,37,39,16
Barzal,Mathew,23,"6'0""",187,New York Islanders,NYI,52,15,26,41,18:43,21,46,15
Reinhart,Sam,25,"6'1""",192,Buffalo Sabres,BUF,52,25,15,40,19:31,15,10,-24
Hintz,Roope,24,"6'3""",216,Dallas Stars,DAL,40,14,26,40,18:18,50,4,9
Necas,Martin,21,"6'2""",190,Carolina Hurricanes,CAR,50,13,27,40,17:19,41,10,26
Fiala,Kevin,24,"5'10""",194,Minnesota Wild,MIN,47,20,19,39,16:56,26,41,1
Boeser,Brock,23,"6'1""",207,Vancouver Canucks,VAN,47,19,20,39,19:30,29,12,-8
Gaudreau,Johnny,27,"5'9""",165,Calgary Flames,CGY,51,18,21,39,18:21,8,4,-1
Nylander,William,24,"6'0""",192,Toronto Maple Leafs,TOR,47,16,23,39,16:36,11,12,10
van Riemsdyk,James,31,"6'3""",216,Philadelphia Flyers,PHI,53,16,23,39,16:30,39,14,0
Copp,Andrew,26,"6'1""",205,Winnipeg Jets,WPG,52,15,24,39,18:21,64,20,3
Wheeler,Blake,34,"6'5""",225,Winnipeg Jets,WPG,46,13,26,39,18:12,60,44,-22
Kessel,Phil,33,"6'0""",203,Arizona Coyotes,ARI,54,18,20,38,17:04,8,12,-18
Couturier,Sean,28,"6'3""",212,Philadelphia Flyers,PHI,42,16,22,38,19:25,33,8,-5
Staal,Jordan,32,"6'4""",220,Carolina Hurricanes,CAR,51,16,22,38,18:30,133,30,2
Suzuki,Nicholas,21,"5'11""",183,Montreal Canadiens,MTL,52,12,26,38,18:04,62,22,-5
Krejcí,David,34,"6'0""",187,Boston Bruins,BOS,48,8,30,38,17:03,24,16,12
Karlsson,William,27,"6'1""",190,Vegas Golden Knights,VGK,52,14,23,37,18:36,26,2,18
